# Code, Airline, Cabin Class, Booking Class Category, is Frequent Flyer
# NEED TO BE VERYFIED !!!
Y,PG,E,NON-REFUNDABLE,FALSE
K,PG,E,NON-REFUNDABLE,FALSE
H,PG,E,NON-REFUNDABLE,FALSE
Q,PG,E,NON-REFUNDABLE,FALSE
B,PG,E,NON-REFUNDABLE,FALSE
L,PG,E,NON-REFUNDABLE,FALSE
V,PG,E,NON-REFUNDABLE,FALSE
R,PG,E,NON-REFUNDABLE,FALSE
M,PG,E,NON-REFUNDABLE,FALSE
U,PG,E,NON-REFUNDABLE,FALSE
N,PG,E,NON-REFUNDABLE,FALSE
T,PG,E,NON-REFUNDABLE,FALSE
X,PG,E,NON-REFUNDABLE,FALSE
I,PG,E,NON-REFUNDABLE,FALSE
D,PG,E,NON-REFUNDABLE,FALSE
S,PG,E,NON-REFUNDABLE,FALSE
P,PG,E,NON-REFUNDABLE,FALSE
